AccountID,StudentBatch,course_code,name,marks,grade,result,term_code,order
6754838394175488_,22f2,CS2003P,Modern Application Development I - Project,95,S,P,F1-2024,10
6754696551202816_,21f3,CS2008P,Machine Learning Practice - Project,85,A,P,F3-2023,9
6754696551202816_,21f3,CS2006P,Modern Application Development II - Project,62,D,P,F2-2024,11
6754696551202816_,21f3,MS2001P,Business Data Management - Project,80,A,P,F2-2024,11
6754696551202816_,21f3,CS2003P,Modern Application Development I - Project,80,A,P,F1-2024,10
6754640951508992_,null,CS2008P,Machine Learning Practice - Project,62,C,P,F1-2023,7
6754640951508992_,null,MS2001P,Business Data Management - Project,90,S,P,F2-2023,8
6754381407977472_,21f3,CS2006P,Modern Application Development II - Project,90,S,P,F2-2024,11
6754381407977472_,21f3,CS2003P,Modern Application Development I - Project,83,A,P,F1-2024,10
6753858940305408_,21f1,CS2006P,Modern Application Development II - Project,96,S,P,F2-2023,8
6753858940305408_,21f1,CS2008P,Machine Learning Practice - Project,87,A,P,F2-2024,11
6753858940305408_,21f1,MS2001P,Business Data Management - Project,84,A,P,F2-2023,8
6753858940305408_,21f1,CS2003P,Modern Application Development I - Project,80,A,P,F2-2023,8
6753390059061248_,22f3,CS2003P,Modern Application Development I - Project,92,S,P,F2-2024,11
6753390059061248_,22f3,MS2001P,Business Data Management - Project,83,A,P,F3-2023,9
6753390059061248_,22f3,CS2008P,Machine Learning Practice - Project,90,S,P,F3-2024,12
6753390059061248_,22f3,CS2006P,Modern Application Development II - Project,100,S,P,F3-2024,12
6753058016985088_,23f1,CS2003P,Modern Application Development I - Project,100,S,P,F2-2024,11
6752202559324160_,21f1,CS2006P,Modern Application Development II - Project,66,C,P,F1-2023,7
6752202559324160_,21f1,CS2003P,Modern Application Development I - Project,64,C,P,F2-2022,5
6752076923142144_,22f2,CS2003P,Modern Application Development I - Project,94,S,P,F3-2024,12
6750579053297664_,22f2,MS2001P,Business Data Management - Project,65,C,P,F3-2024,12
6750579053297664_,22f2,CS2003P,Modern Application Development I - Project,82,A,P,F1-2024,10
6750579053297664_,22f2,CS2008P,Machine Learning Practice - Project,96,S,P,F2-2024,11
6750579053297664_,22f2,CS2006P,Modern Application Development II - Project,90,S,P,F2-2024,11
6750052156440576_,21f1,CS2008P,Machine Learning Practice - Project,93,S,P,F3-2024,12
6749094957547520_,22f3,CS2003P,Modern Application Development I - Project,90,S,P,F3-2024,12
6748022306242560_,23f2,CS2003P,Modern Application Development I - Project,100,S,P,F3-2024,12
6747991788486656_,22f2,CS2008P,Machine Learning Practice - Project,100,S,P,F3-2024,12
6747991788486656_,22f2,CS2006P,Modern Application Development II - Project,92,S,P,F3-2024,12
6747991788486656_,22f2,CS2003P,Modern Application Development I - Project,100,S,P,F1-2024,10
6747991788486656_,22f2,MS2001P,Business Data Management - Project,86,A,P,F3-2024,12
6747991746543616_,21f1,CS2008P,Machine Learning Practice - Project,75,B,P,F3-2022,6
6747624870772736_,23f1,CS2008P,Machine Learning Practice - Project,86,A,P,F3-2024,12
